candidate,currency,n_signals,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,AMD,146,0,2,0.2971014492753623,38
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,KGS,142,1,2,0.34057971014492755,38
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,KZT,150,0,2,0.3115942028985507,48
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,TJS,149,0,2,0.30434782608695654,41
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,UZS,144,0,2,0.3115942028985507,49
known_next_not_lower_cd3,AMD,193,0,2,0.036231884057971016,13
known_next_not_lower_cd3,KGS,188,0,2,0.057971014492753624,18
known_next_not_lower_cd3,KZT,193,0,2,0.028985507246376812,18
known_next_not_lower_cd3,TJS,197,0,2,0.050724637681159424,17
known_next_not_lower_cd3,UZS,186,0,2,0.050724637681159424,17
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,AMD,143,0,2,0.32608695652173914,31
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,KGS,140,0,2,0.32608695652173914,31
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,KZT,146,0,2,0.2753623188405797,39
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,TJS,141,0,2,0.3188405797101449,30
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,UZS,140,0,2,0.3333333333333333,43
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,AMD,142,0,2,0.3333333333333333,38
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,KGS,138,1,2,0.3695652173913043,41
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,KZT,149,0,2,0.2971014492753623,48
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,TJS,144,0,2,0.3115942028985507,41
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,UZS,144,0,2,0.3115942028985507,49
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,AMD,143,0,2,0.3188405797101449,30
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,KGS,140,0,2,0.32608695652173914,31
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,KZT,146,0,2,0.2753623188405797,39
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,TJS,141,0,2,0.3115942028985507,30
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,UZS,140,0,2,0.3333333333333333,43
