candidate,currency,n_signals,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max
cny50_quarter_fine_full20_urgent_cap2,AMD,184,0,2,0.07971014492753623,14
cny50_quarter_fine_full20_urgent_cap2,KGS,184,0,2,0.07246376811594203,15
cny50_quarter_fine_full20_urgent_cap2,KZT,176,0,2,0.10869565217391304,18
cny50_quarter_fine_full20_urgent_cap2,TJS,184,0,2,0.08695652173913043,16
cny50_quarter_fine_full20_urgent_cap2,UZS,180,0,2,0.07971014492753623,15
cny_hist50_urgent_cap2,AMD,179,0,2,0.11594202898550725,14
cny_hist50_urgent_cap2,KGS,180,0,2,0.11594202898550725,14
cny_hist50_urgent_cap2,KZT,182,0,2,0.09420289855072464,14
cny_hist50_urgent_cap2,TJS,184,0,2,0.10144927536231885,15
cny_hist50_urgent_cap2,UZS,183,0,2,0.10869565217391304,15
cny50_hazard_hist_h5_urgent_cap2,AMD,182,0,2,0.08695652173913043,14
cny50_hazard_hist_h5_urgent_cap2,KGS,180,0,2,0.10144927536231885,14
cny50_hazard_hist_h5_urgent_cap2,KZT,178,0,2,0.11594202898550725,15
cny50_hazard_hist_h5_urgent_cap2,TJS,182,0,2,0.10144927536231885,16
cny50_hazard_hist_h5_urgent_cap2,UZS,181,0,2,0.10144927536231885,14
quarter_direct_full20_h5_urgent_cap2,AMD,177,0,2,0.11594202898550725,18
quarter_direct_full20_h5_urgent_cap2,KGS,179,0,2,0.10869565217391304,18
quarter_direct_full20_h5_urgent_cap2,KZT,175,0,2,0.13043478260869565,22
quarter_direct_full20_h5_urgent_cap2,TJS,182,0,2,0.10144927536231885,18
quarter_direct_full20_h5_urgent_cap2,UZS,176,0,2,0.12318840579710146,18
cny50_quarter_direct_full20_urgent_cap2,AMD,179,0,2,0.11594202898550725,14
cny50_quarter_direct_full20_urgent_cap2,KGS,180,0,2,0.11594202898550725,14
cny50_quarter_direct_full20_urgent_cap2,KZT,182,0,2,0.09420289855072464,14
cny50_quarter_direct_full20_urgent_cap2,TJS,184,0,2,0.10144927536231885,15
cny50_quarter_direct_full20_urgent_cap2,UZS,183,0,2,0.10869565217391304,15
quarter_direct_mature5_h5_urgent_cap2,AMD,177,0,2,0.13768115942028986,20
quarter_direct_mature5_h5_urgent_cap2,KGS,178,0,2,0.13043478260869565,18
quarter_direct_mature5_h5_urgent_cap2,KZT,172,0,2,0.13043478260869565,29
quarter_direct_mature5_h5_urgent_cap2,TJS,184,0,2,0.10869565217391304,18
quarter_direct_mature5_h5_urgent_cap2,UZS,174,0,2,0.15217391304347827,18
cny50_quarter_direct_mature5_urgent_cap2,AMD,179,0,2,0.13043478260869565,15
cny50_quarter_direct_mature5_urgent_cap2,KGS,176,0,2,0.13043478260869565,14
cny50_quarter_direct_mature5_urgent_cap2,KZT,179,0,2,0.10144927536231885,15
cny50_quarter_direct_mature5_urgent_cap2,TJS,180,0,2,0.11594202898550725,16
cny50_quarter_direct_mature5_urgent_cap2,UZS,176,0,2,0.13043478260869565,17
quarter_coarse_full20_h5_urgent_cap2,AMD,176,0,2,0.12318840579710146,15
quarter_coarse_full20_h5_urgent_cap2,KGS,177,0,2,0.12318840579710146,25
quarter_coarse_full20_h5_urgent_cap2,KZT,177,0,2,0.13043478260869565,22
quarter_coarse_full20_h5_urgent_cap2,TJS,180,0,2,0.13043478260869565,24
quarter_coarse_full20_h5_urgent_cap2,UZS,175,0,2,0.15942028985507245,24
quarter_coarse_full20_mean_urgent_cap2,AMD,172,0,2,0.13043478260869565,25
quarter_coarse_full20_mean_urgent_cap2,KGS,177,0,2,0.11594202898550725,25
quarter_coarse_full20_mean_urgent_cap2,KZT,178,0,2,0.13043478260869565,22
quarter_coarse_full20_mean_urgent_cap2,TJS,180,0,2,0.12318840579710146,25
quarter_coarse_full20_mean_urgent_cap2,UZS,180,0,2,0.13043478260869565,24
cny50_quarter_coarse_full20_urgent_cap2,AMD,182,0,2,0.08695652173913043,14
cny50_quarter_coarse_full20_urgent_cap2,KGS,180,0,2,0.10144927536231885,14
cny50_quarter_coarse_full20_urgent_cap2,KZT,178,0,2,0.11594202898550725,15
cny50_quarter_coarse_full20_urgent_cap2,TJS,182,0,2,0.10144927536231885,16
cny50_quarter_coarse_full20_urgent_cap2,UZS,181,0,2,0.10144927536231885,14
quarter_coarse_partial_h5_urgent_cap2,AMD,181,0,2,0.10869565217391304,19
quarter_coarse_partial_h5_urgent_cap2,KGS,185,0,2,0.11594202898550725,18
quarter_coarse_partial_h5_urgent_cap2,KZT,180,0,2,0.11594202898550725,18
quarter_coarse_partial_h5_urgent_cap2,TJS,185,0,2,0.10144927536231885,22
quarter_coarse_partial_h5_urgent_cap2,UZS,183,0,2,0.11594202898550725,28
quarter_coarse_partial_mean_urgent_cap2,AMD,183,0,2,0.11594202898550725,19
quarter_coarse_partial_mean_urgent_cap2,KGS,184,0,2,0.10869565217391304,18
quarter_coarse_partial_mean_urgent_cap2,KZT,181,0,2,0.11594202898550725,18
quarter_coarse_partial_mean_urgent_cap2,TJS,184,0,2,0.10144927536231885,22
quarter_coarse_partial_mean_urgent_cap2,UZS,182,0,2,0.11594202898550725,28
cny50_quarter_coarse_partial_urgent_cap2,AMD,187,0,2,0.07971014492753623,16
cny50_quarter_coarse_partial_urgent_cap2,KGS,181,0,2,0.10144927536231885,14
cny50_quarter_coarse_partial_urgent_cap2,KZT,181,0,2,0.09420289855072464,15
